date,variable,value,value01
7/1/1967,pce,506.7,0
8/1/1967,pce,509.8,0.00026525
9/1/1967,pce,515.6,0.000761523
10/1/1967,pce,512.2,0.000470604
11/1/1967,pce,517.4,0.000915539
12/1/1967,pce,525.1,0.001574385
1/1/1968,pce,530.9,0.002070659
2/1/1968,pce,533.6,0.002301683
3/1/1968,pce,544.3,0.003217222
4/1/1968,pce,544,0.003191553
5/1/1968,pce,549.8,0.003687827
6/1/1968,pce,556.3,0.004243996
7/1/1968,pce,563.2,0.00483439
8/1/1968,pce,567,0.005159535
9/1/1968,pce,568.2,0.005262212
10/1/1968,pce,571.6,0.005553131
11/1/1968,pce,576.7,0.00598951
12/1/1968,pce,576.5,0.005972397
1/1/1969,pce,583.5,0.006571348
2/1/1969,pce,588.7,0.007016283
3/1/1969,pce,588.9,0.007033396
4/1/1969,pce,593.9,0.007461218
5/1/1969,pce,600.3,0.00800883
6/1/1969,pce,600.9,0.008060169
7/1/1969,pce,602.7,0.008214185
8/1/1969,pce,609.9,0.008830249
9/1/1969,pce,613.2,0.009112611
10/1/1969,pce,618.5,0.009566103
11/1/1969,pce,620.5,0.009737232
12/1/1969,pce,622.8,0.00993403
1/1/1970,pce,628.7,0.01043886
2/1/1970,pce,634,0.010892351
3/1/1970,pce,632.3,0.010746892
4/1/1970,pce,636,0.01106348
5/1/1970,pce,642.4,0.011611093
6/1/1970,pce,646.3,0.011944794
7/1/1970,pce,648.5,0.012133036
8/1/1970,pce,652.9,0.012509519
9/1/1970,pce,659.1,0.013040018
10/1/1970,pce,658.3,0.012971567
11/1/1970,pce,656.6,0.012826107
12/1/1970,pce,665.6,0.013596187
1/1/1971,pce,676.1,0.014494614
2/1/1971,pce,679.4,0.014776976
3/1/1971,pce,682,0.014999444
4/1/1971,pce,688.8,0.015581282
5/1/1971,pce,691.1,0.01577808
6/1/1971,pce,699.8,0.016522491
7/1/1971,pce,698.9,0.016445483
8/1/1971,pce,704.9,0.016958869
9/1/1971,pce,713,0.017651941
10/1/1971,pce,715.8,0.017891521
11/1/1971,pce,720.9,0.0183279
12/1/1971,pce,728.4,0.018969633
1/1/1972,pce,731.5,0.019234883
2/1/1972,pce,736.2,0.019637036
3/1/1972,pce,749.2,0.020749373
4/1/1972,pce,752.5,0.021031736
5/1/1972,pce,758,0.02150234
6/1/1972,pce,761.6,0.021810372
7/1/1972,pce,769.9,0.022520557
8/1/1972,pce,776.3,0.023068169
9/1/1972,pce,781.1,0.023478878
10/1/1972,pce,794.9,0.024659667
11/1/1972,pce,800.5,0.025138828
12/1/1972,pce,806.1,0.025617989
1/1/1973,pce,816.5,0.026507859
2/1/1973,pce,825.8,0.027303608
3/1/1973,pce,832.8,0.027902559
4/1/1973,pce,835.7,0.028150696
5/1/1973,pce,841.6,0.028655526
6/1/1973,pce,844.3,0.02888655
7/1/1973,pce,854.1,0.029725082
8/1/1973,pce,853.3,0.02965663
9/1/1973,pce,869.2,0.031017104
10/1/1973,pce,868.2,0.03093154
11/1/1973,pce,876.9,0.03167595
12/1/1973,pce,876.6,0.031650281
1/1/1974,pce,884.5,0.03232624
2/1/1974,pce,889.7,0.032771175
3/1/1974,pce,901.4,0.033772279
4/1/1974,pce,910.8,0.034576584
5/1/1974,pce,922.4,0.035569132
6/1/1974,pce,928,0.036048293
7/1/1974,pce,937.9,0.03689538
8/1/1974,pce,954.8,0.038341419
9/1/1974,pce,955.1,0.038367088
10/1/1974,pce,959.2,0.038717903
11/1/1974,pce,956.2,0.038461209
12/1/1974,pce,961.8,0.03894037
1/1/1975,pce,975.6,0.040121159
2/1/1975,pce,989.4,0.041301948
3/1/1975,pce,990.6,0.041404626
4/1/1975,pce,995,0.041781109
5/1/1975,pce,1018.9,0.043826099
6/1/1975,pce,1026.8,0.044502058
7/1/1975,pce,1039.8,0.045614395
8/1/1975,pce,1047,0.046230459
9/1/1975,pce,1054.8,0.046897862
10/1/1975,pce,1060.9,0.047419805
11/1/1975,pce,1075.8,0.048694715
12/1/1975,pce,1092.1,0.050089415
1/1/1976,pce,1107.1,0.051372881
2/1/1976,pce,1107.7,0.05142422
3/1/1976,pce,1114.9,0.052040284
4/1/1976,pce,1125.4,0.05293871
5/1/1976,pce,1122.7,0.052707686
6/1/1976,pce,1140.5,0.054230733
7/1/1976,pce,1149.6,0.055009369
8/1/1976,pce,1158,0.05572811
9/1/1976,pce,1168.8,0.056652206
10/1/1976,pce,1176.8,0.057336722
11/1/1976,pce,1189,0.058380608
12/1/1976,pce,1211.5,0.060305807
1/1/1977,pce,1215,0.060605283
2/1/1977,pce,1231.3,0.061999983
3/1/1977,pce,1238.3,0.062598934
4/1/1977,pce,1247.3,0.063369014
5/1/1977,pce,1257.1,0.064207545
6/1/1977,pce,1263.6,0.064763714
7/1/1977,pce,1280.5,0.066209753
8/1/1977,pce,1285.7,0.066654688
9/1/1977,pce,1294.5,0.067407655
10/1/1977,pce,1311.4,0.068853693
11/1/1977,pce,1327,0.070188498
12/1/1977,pce,1336,0.070958578
1/1/1978,pce,1329.5,0.070402409
2/1/1978,pce,1355.1,0.072592859
3/1/1978,pce,1377.5,0.074509502
4/1/1978,pce,1396.4,0.07612667
5/1/1978,pce,1412,0.077461475
6/1/1978,pce,1425.8,0.078642264
7/1/1978,pce,1426.8,0.078727828
8/1/1978,pce,1447,0.08045623
9/1/1978,pce,1452.9,0.08096106
10/1/1978,pce,1466.9,0.082158962
11/1/1978,pce,1480.6,0.083331194
12/1/1978,pce,1496.5,0.084691669
1/1/1979,pce,1502.4,0.085196499
2/1/1979,pce,1517.8,0.086514191
3/1/1979,pce,1531.2,0.087660754
4/1/1979,pce,1538.4,0.088276818
5/1/1979,pce,1558.8,0.090022332
6/1/1979,pce,1575.7,0.091468371
7/1/1979,pce,1586.1,0.092358241
8/1/1979,pce,1615.6,0.094882392
9/1/1979,pce,1633.9,0.096448221
10/1/1979,pce,1641.6,0.097107067
11/1/1979,pce,1657.3,0.098450428
12/1/1979,pce,1666.3,0.099220508
1/1/1980,pce,1697.3,0.101873005
2/1/1980,pce,1701.4,0.102223819
3/1/1980,pce,1708.2,0.102805658
4/1/1980,pce,1695.2,0.10169332
5/1/1980,pce,1700.1,0.102112586
6/1/1980,pce,1718.8,0.10371264
7/1/1980,pce,1747.1,0.106134114
8/1/1980,pce,1763.8,0.10756304
9/1/1980,pce,1780.5,0.108991966
10/1/1980,pce,1817.1,0.112123623
11/1/1980,pce,1826.8,0.112953598
12/1/1980,pce,1851.7,0.115084153
1/1/1981,pce,1870,0.116649982
2/1/1981,pce,1884.2,0.117864996
3/1/1981,pce,1902.9,0.119465051
4/1/1981,pce,1904.4,0.119593398
5/1/1981,pce,1913.8,0.120397703
6/1/1981,pce,1934.5,0.122168887
7/1/1981,pce,1942.1,0.122819177
8/1/1981,pce,1966.6,0.124915505
9/1/1981,pce,1965.5,0.124821384
10/1/1981,pce,1963.9,0.124684481
11/1/1981,pce,1970.6,0.125257763
12/1/1981,pce,1988.8,0.126815035
1/1/1982,pce,1997.1,0.12752522
2/1/1982,pce,2021.2,0.129587323
3/1/1982,pce,2024.1,0.12983546
4/1/1982,pce,2026.3,0.130023701
5/1/1982,pce,2044.5,0.131580974
6/1/1982,pce,2048.1,0.131889006
7/1/1982,pce,2072.2,0.133951108
8/1/1982,pce,2080.1,0.134627067
9/1/1982,pce,2104.6,0.136723396
10/1/1982,pce,2125.8,0.138537362
11/1/1982,pce,2149.3,0.140548126
12/1/1982,pce,2161.6,0.141600568
1/1/1983,pce,2174,0.142661567
2/1/1983,pce,2177,0.14291826
3/1/1983,pce,2202.8,0.145125822
4/1/1983,pce,2226.4,0.147145143
5/1/1983,pce,2245.9,0.148813649
6/1/1983,pce,2276,0.151389138
7/1/1983,pce,2304.4,0.153819168
8/1/1983,pce,2320.4,0.155188199
9/1/1983,pce,2334.9,0.156428883
10/1/1983,pce,2357.6,0.158371196
11/1/1983,pce,2366.3,0.159115606
12/1/1983,pce,2393.6,0.161451515
1/1/1984,pce,2419.4,0.163659077
2/1/1984,pce,2403.5,0.162298603
3/1/1984,pce,2431.6,0.164702963
4/1/1984,pce,2457.5,0.166919082
5/1/1984,pce,2474.5,0.168373677
6/1/1984,pce,2495.6,0.170179086
7/1/1984,pce,2494.6,0.170093522
8/1/1984,pce,2512.2,0.171599456
9/1/1984,pce,2533.8,0.173447647
10/1/1984,pce,2531.3,0.173233736
11/1/1984,pce,2571.4,0.17666487
12/1/1984,pce,2582.6,0.177623191
1/1/1985,pce,2618.8,0.180720624
2/1/1985,pce,2640.8,0.182603041
3/1/1985,pce,2648.5,0.183261887
4/1/1985,pce,2659.5,0.184203096
5/1/1985,pce,2696.4,0.187360423
6/1/1985,pce,2689.4,0.186761472
7/1/1985,pce,2715.7,0.189011816
8/1/1985,pce,2752.1,0.192126362
9/1/1985,pce,2794.7,0.195771406
10/1/1985,pce,2755.8,0.19244295
11/1/1985,pce,2771.1,0.193752086
12/1/1985,pce,2811.3,0.197191776
1/1/1986,pce,2827.1,0.198543693
2/1/1986,pce,2820.2,0.197953299
3/1/1986,pce,2823.6,0.198244218
4/1/1986,pce,2835.2,0.199236765
5/1/1986,pce,2857.5,0.201144852
6/1/1986,pce,2861.7,0.201504223
7/1/1986,pce,2881.2,0.203172729
8/1/1986,pce,2898.6,0.20466155
9/1/1986,pce,2971.8,0.210924866
10/1/1986,pce,2932.9,0.20759641
11/1/1986,pce,2928.4,0.20721137
12/1/1986,pce,2997.1,0.213089646
1/1/1987,pce,2935.5,0.207818877
2/1/1987,pce,3001.7,0.213483242
3/1/1987,pce,3013.3,0.21447579
4/1/1987,pce,3038.8,0.216657682
5/1/1987,pce,3048.4,0.217479101
6/1/1987,pce,3072.8,0.219566873
7/1/1987,pce,3094.7,0.221440734
8/1/1987,pce,3130.8,0.22452961
9/1/1987,pce,3126.5,0.224161683
10/1/1987,pce,3134.5,0.224846198
11/1/1987,pce,3144.2,0.225676173
12/1/1987,pce,3174.1,0.228234549
1/1/1988,pce,3213.7,0.2316229
2/1/1988,pce,3221.4,0.232281747
3/1/1988,pce,3260.5,0.235627316
4/1/1988,pce,3263,0.235841227
5/1/1988,pce,3293.6,0.238459498
6/1/1988,pce,3318.5,0.240590052
7/1/1988,pce,3342.7,0.242660711
8/1/1988,pce,3368,0.244825491
9/1/1988,pce,3375,0.245424442
10/1/1988,pce,3413.7,0.248735786
11/1/1988,pce,3430.2,0.250147599
12/1/1988,pce,3459.7,0.252671749
1/1/1989,pce,3483.7,0.254725295
2/1/1989,pce,3488,0.255093222
3/1/1989,pce,3498.8,0.256017318
4/1/1989,pce,3543,0.259799266
5/1/1989,pce,3551.8,0.260552233
6/1/1989,pce,3566.6,0.261818586
7/1/1989,pce,3585.7,0.263452867
8/1/1989,pce,3620.6,0.266439065
9/1/1989,pce,3621.9,0.266550299
10/1/1989,pce,3633.6,0.267551403
11/1/1989,pce,3643.3,0.268381378
12/1/1989,pce,3684.2,0.271880963
1/1/1990,pce,3730.7,0.275859709
2/1/1990,pce,3728.2,0.275645798
3/1/1990,pce,3754.9,0.277930368
4/1/1990,pce,3770,0.27922239
5/1/1990,pce,3775.8,0.279718664
6/1/1990,pce,3804.5,0.282174363
7/1/1990,pce,3821.7,0.283646071
8/1/1990,pce,3848.3,0.285922085
9/1/1990,pce,3870.1,0.28778739
10/1/1990,pce,3870.6,0.287830172
11/1/1990,pce,3871.9,0.287941405
12/1/1990,pce,3861.3,0.287034423
1/1/1991,pce,3841,0.285297465
2/1/1991,pce,3866.7,0.28749647
3/1/1991,pce,3913,0.291458103
4/1/1991,pce,3907.1,0.290953273
5/1/1991,pce,3933.2,0.293186505
6/1/1991,pce,3940.5,0.293811125
7/1/1991,pce,3966,0.295993018
8/1/1991,pce,3969.1,0.296258268
9/1/1991,pce,3984.7,0.297593073
10/1/1991,pce,3976,0.296848662
11/1/1991,pce,4003.6,0.29921024
12/1/1991,pce,4020.5,0.300656279
1/1/1992,pce,4084.7,0.306149515
2/1/1992,pce,4099.5,0.307415869
3/1/1992,pce,4117,0.308913246
4/1/1992,pce,4131.5,0.31015393
5/1/1992,pce,4158.4,0.312455613
6/1/1992,pce,4177.1,0.314055668
7/1/1992,pce,4204.8,0.316425803
8/1/1992,pce,4220.9,0.31780339
9/1/1992,pce,4255.3,0.320746806
10/1/1992,pce,4284.7,0.3232624
11/1/1992,pce,4300.5,0.324614318
12/1/1992,pce,4336.4,0.327686081
1/1/1993,pce,4340.7,0.328054008
2/1/1993,pce,4355.3,0.329303249
3/1/1993,pce,4352.5,0.329063668
4/1/1993,pce,4393.4,0.332563254
5/1/1993,pce,4422.4,0.335044622
6/1/1993,pce,4440,0.336550556
7/1/1993,pce,4468.9,0.339023368
8/1/1993,pce,4481.1,0.340067254
9/1/1993,pce,4511.5,0.342668412
10/1/1993,pce,4532.8,0.344490934
11/1/1993,pce,4554.1,0.346313457
12/1/1993,pce,4571.1,0.347768052
1/1/1994,pce,4585.1,0.348965954
2/1/1994,pce,4632.6,0.353030264
3/1/1994,pce,4646,0.354176827
4/1/1994,pce,4671.1,0.356324495
5/1/1994,pce,4669.5,0.356187591
6/1/1994,pce,4708.9,0.35955883
7/1/1994,pce,4720.6,0.360559934
8/1/1994,pce,4762.6,0.364153639
9/1/1994,pce,4775,0.365214638
10/1/1994,pce,4812.9,0.36845753
11/1/1994,pce,4825.6,0.369544198
12/1/1994,pce,4841.6,0.370913229
1/1/1995,pce,4851.2,0.371734648
2/1/1995,pce,4850.8,0.371700422
3/1/1995,pce,4885.4,0.374660951
4/1/1995,pce,4890.2,0.37507166
5/1/1995,pce,4933.1,0.378742374
6/1/1995,pce,4977.5,0.382541435
7/1/1995,pce,4970.2,0.381916814
8/1/1995,pce,5005.3,0.384920126
9/1/1995,pce,5020.5,0.386220705
10/1/1995,pce,5013.9,0.38565598
11/1/1995,pce,5055.6,0.389224016
12/1/1995,pce,5097.5,0.392809166
1/1/1996,pce,5085.7,0.391799505
2/1/1996,pce,5132.8,0.39582959
3/1/1996,pce,5173.3,0.399294949
4/1/1996,pce,5208,0.402264035
5/1/1996,pce,5223.8,0.403615953
6/1/1996,pce,5229.8,0.404129339
7/1/1996,pce,5251.9,0.406020313
8/1/1996,pce,5275,0.407996851
9/1/1996,pce,5296.6,0.409845043
10/1/1996,pce,5328.5,0.412574548
11/1/1996,pce,5351.2,0.41451686
12/1/1996,pce,5378.6,0.416861326
1/1/1997,pce,5411.1,0.41964217
2/1/1997,pce,5434,0.421601595
3/1/1997,pce,5454.2,0.423329996
4/1/1997,pce,5459.3,0.423766375
5/1/1997,pce,5460.2,0.423843383
6/1/1997,pce,5494.2,0.426752573
7/1/1997,pce,5548.8,0.431424391
8/1/1997,pce,5587,0.434692952
9/1/1997,pce,5601.7,0.435950749
10/1/1997,pce,5637.7,0.439031068
11/1/1997,pce,5661.1,0.441033276
12/1/1997,pce,5692.1,0.443685773
1/1/1998,pce,5689.9,0.443497531
2/1/1998,pce,5723.8,0.446398165
3/1/1998,pce,5750.3,0.448665623
4/1/1998,pce,5788.1,0.451899958
5/1/1998,pce,5837.9,0.456161066
6/1/1998,pce,5871.7,0.459053144
7/1/1998,pce,5890,0.460618973
8/1/1998,pce,5925,0.463613728
9/1/1998,pce,5965.6,0.467087644
10/1/1998,pce,5998.8,0.469928383
11/1/1998,pce,6015.4,0.471348752
12/1/1998,pce,6070.5,0.476063352
1/1/1999,pce,6072.9,0.476268707
2/1/1999,pce,6101.8,0.478741518
3/1/1999,pce,6132.9,0.481402572
4/1/1999,pce,6196.2,0.4868188
5/1/1999,pce,6225.7,0.489342951
6/1/1999,pce,6254,0.491764424
7/1/1999,pce,6281.5,0.494117446
8/1/1999,pce,6326.5,0.497967845
9/1/1999,pce,6378.8,0.502442864
10/1/1999,pce,6402.1,0.504436515
11/1/1999,pce,6437.9,0.507499722
12/1/1999,pce,6538.7,0.516124616
1/1/2000,pce,6535.3,0.515833697
2/1/2000,pce,6619.7,0.523055335
3/1/2000,pce,6685.8,0.528711143
4/1/2000,pce,6671.1,0.527453346
5/1/2000,pce,6707.6,0.530576448
6/1/2000,pce,6743.9,0.533682436
7/1/2000,pce,6764.1,0.535410838
8/1/2000,pce,6799.1,0.538405592
9/1/2000,pce,6882.9,0.545575891
10/1/2000,pce,6888.2,0.546029383
11/1/2000,pce,6902.4,0.547244398
12/1/2000,pce,6945.7,0.550949337
1/1/2001,pce,6977,0.553627504
2/1/2001,pce,6995.8,0.555236115
3/1/2001,pce,6987.9,0.554560156
4/1/2001,pce,7001.2,0.555698163
5/1/2001,pce,7047.1,0.55962557
6/1/2001,pce,7060.7,0.560789246
7/1/2001,pce,7072.2,0.561773237
8/1/2001,pce,7108.9,0.564913452
9/1/2001,pce,7012.8,0.55669071
10/1/2001,pce,7208.4,0.573427112
11/1/2001,pce,7167.9,0.569961753
12/1/2001,pce,7147.7,0.568233351
1/1/2002,pce,7174.3,0.570509365
2/1/2002,pce,7218.3,0.5742742
3/1/2002,pce,7237.2,0.575891367
4/1/2002,pce,7305.4,0.581726861
5/1/2002,pce,7282.7,0.579784549
6/1/2002,pce,7318.2,0.582822086
7/1/2002,pce,7380.4,0.588144193
8/1/2002,pce,7401.5,0.589949603
9/1/2002,pce,7391,0.589051176
10/1/2002,pce,7430.7,0.592448084
11/1/2002,pce,7459.7,0.594929452
12/1/2002,pce,7512.8,0.599472923
1/1/2003,pce,7533.1,0.601209881
2/1/2003,pce,7535.9,0.601449461
3/1/2003,pce,7598.4,0.606797238
4/1/2003,pce,7621,0.608730994
5/1/2003,pce,7628.1,0.609338501
6/1/2003,pce,7678.6,0.613659505
7/1/2003,pce,7738.2,0.618759145
8/1/2003,pce,7834.5,0.626998999
9/1/2003,pce,7835,0.627041781
10/1/2003,pce,7845.7,0.62795732
11/1/2003,pce,7899.6,0.632569243
12/1/2003,pce,7929.2,0.63510195
1/1/2004,pce,7987.4,0.6400818
2/1/2004,pce,8019.8,0.642854087
3/1/2004,pce,8076,0.647662808
4/1/2004,pce,8088.6,0.648740919
5/1/2004,pce,8163.2,0.655124026
6/1/2004,pce,8147.2,0.653754995
7/1/2004,pce,8218.9,0.659889964
8/1/2004,pce,8253.1,0.662816268
9/1/2004,pce,8321.1,0.668634648
10/1/2004,pce,8374.6,0.673212345
11/1/2004,pce,8420.6,0.677148309
12/1/2004,pce,8481.5,0.682359182
1/1/2005,pce,8470.2,0.681392304
2/1/2005,pce,8529.2,0.686440605
3/1/2005,pce,8569.5,0.689888852
4/1/2005,pce,8645.6,0.696400305
5/1/2005,pce,8643.9,0.696254845
6/1/2005,pce,8724.8,0.703177007
7/1/2005,pce,8829.5,0.712135603
8/1/2005,pce,8832.4,0.712383739
9/1/2005,pce,8885.8,0.71695288
10/1/2005,pce,8926.6,0.720443908
11/1/2005,pce,8938.5,0.721462125
12/1/2005,pce,8969.6,0.724123179
1/1/2006,pce,9059.8,0.73184109
2/1/2006,pce,9090.1,0.734433692
3/1/2006,pce,9122.1,0.737171753
4/1/2006,pce,9174.8,0.741680999
5/1/2006,pce,9215.1,0.745129245
6/1/2006,pce,9240.8,0.747328251
7/1/2006,pce,9322.6,0.754327421
8/1/2006,pce,9321.8,0.754258969
9/1/2006,pce,9354.7,0.757074039
10/1/2006,pce,9373.2,0.758656981
11/1/2006,pce,9380.2,0.759255932
12/1/2006,pce,9469,0.766854053
1/1/2007,pce,9516.3,0.77090125
2/1/2007,pce,9546.8,0.773510965
3/1/2007,pce,9585.1,0.776788083
4/1/2007,pce,9615.7,0.779406354
5/1/2007,pce,9651.3,0.782452448
6/1/2007,pce,9667.3,0.783821478
7/1/2007,pce,9709.6,0.787440854
8/1/2007,pce,9753.9,0.791231358
9/1/2007,pce,9797.9,0.794996192
10/1/2007,pce,9827,0.797486117
11/1/2007,pce,9897.8,0.803544079
12/1/2007,pce,9908.4,0.804451061
1/1/2008,pce,9930,0.806299253
2/1/2008,pce,9913.4,0.804878884
3/1/2008,pce,9959.4,0.808814847
4/1/2008,pce,9996.8,0.812014957
5/1/2008,pce,10053.8,0.816892129
6/1/2008,pce,10107.9,0.821521164
7/1/2008,pce,10104.7,0.821247358
8/1/2008,pce,10094.7,0.820391714
9/1/2008,pce,10043.5,0.816010815
10/1/2008,pce,9960.3,0.808891855
11/1/2008,pce,9820.8,0.796955618
12/1/2008,pce,9730.7,0.789246263
1/1/2009,pce,9783.8,0.793789734
2/1/2009,pce,9766,0.792266687
3/1/2009,pce,9718.5,0.788202377
4/1/2009,pce,9724.8,0.788741433
5/1/2009,pce,9748.9,0.790803536
6/1/2009,pce,9806.9,0.795766272
7/1/2009,pce,9841.7,0.798743914
8/1/2009,pce,9961,0.80895175
9/1/2009,pce,9883.4,0.802311951
10/1/2009,pce,9931.9,0.806461825
11/1/2009,pce,9940.5,0.807197679
12/1/2009,pce,9998.9,0.812194642
1/1/2010,pce,10001.8,0.812442779
2/1/2010,pce,10030.6,0.814907034
3/1/2010,pce,10089.1,0.819912553
4/1/2010,pce,10112.9,0.821948986
5/1/2010,pce,10131,0.823497703
6/1/2010,pce,10151.4,0.825243217
7/1/2010,pce,10184.7,0.828092512
8/1/2010,pce,10228.2,0.831814565
9/1/2010,pce,10249,0.833594305
10/1/2010,pce,10304.7,0.838360243
11/1/2010,pce,10354.7,0.842638465
12/1/2010,pce,10392.1,0.845838574
1/1/2011,pce,10435.5,0.84955207
2/1/2011,pce,10470.1,0.852512599
3/1/2011,pce,10550.5,0.859391979
4/1/2011,pce,10587.6,0.862566419
5/1/2011,pce,10612,0.864654191
6/1/2011,pce,10636.8,0.866776189
7/1/2011,pce,10677.5,0.870258661
8/1/2011,pce,10700.6,0.872235199
9/1/2011,pce,10738.1,0.875443865
10/1/2011,pce,10753.1,0.876727332
11/1/2011,pce,10759.5,0.877274944
12/1/2011,pce,10772.2,0.878361612
1/1/2012,pce,10862.1,0.886053854
2/1/2012,pce,10953.5,0.893874443
3/1/2012,pce,10951.8,0.893728983
4/1/2012,pce,10979.7,0.896116231
5/1/2012,pce,10968.6,0.895166466
6/1/2012,pce,10946.3,0.893258379
7/1/2012,pce,10977.2,0.89590232
8/1/2012,pce,11004.1,0.898204003
9/1/2012,pce,11061.5,0.903115401
10/1/2012,pce,11099.8,0.906392518
11/1/2012,pce,11136.8,0.909558402
12/1/2012,pce,11140.5,0.90987499
1/1/2013,pce,11202.8,0.915205654
2/1/2013,pce,11239.6,0.918354425
3/1/2013,pce,11227.1,0.91728487
4/1/2013,pce,11205.4,0.915428122
5/1/2013,pce,11244.6,0.918782247
6/1/2013,pce,11268.8,0.920852906
7/1/2013,pce,11296.7,0.923240154
8/1/2013,pce,11329.2,0.926020998
9/1/2013,pce,11366.9,0.929246776
10/1/2013,pce,11419.8,0.933773134
11/1/2013,pce,11487.6,0.939574403
12/1/2013,pce,11517.9,0.942167005
1/1/2014,pce,11512.5,0.941704957
2/1/2014,pce,11566.2,0.946299766
3/1/2014,pce,11643,0.952871114
4/1/2014,pce,11702.6,0.957970754
5/1/2014,pce,11748.4,0.961889605
6/1/2014,pce,11817,0.967759324
7/1/2014,pce,11860.5,0.971481377
8/1/2014,pce,11944.3,0.978651676
9/1/2014,pce,11957.4,0.97977257
10/1/2014,pce,12023,0.985385596
11/1/2014,pce,12051.4,0.987815626
12/1/2014,pce,12062,0.988722609
1/1/2015,pce,12046,0.987353578
2/1/2015,pce,12082.4,0.990468123
3/1/2015,pce,12158.3,0.996962463
4/1/2015,pce,12193.8,1
7/1/1967,pop,198712,0
8/1/1967,pop,198911,0.001635299
9/1/1967,pop,199113,0.00329525
10/1/1967,pop,199311,0.004922332
11/1/1967,pop,199498,0.00645902
12/1/1967,pop,199657,0.007765615
1/1/1968,pop,199808,0.00900647
2/1/1968,pop,199920,0.009926839
3/1/1968,pop,200056,0.01104443
4/1/1968,pop,200208,0.012293503
5/1/1968,pop,200361,0.013550793
6/1/1968,pop,200536,0.01498887
7/1/1968,pop,200706,0.016385859
8/1/1968,pop,200898,0.017963635
9/1/1968,pop,201095,0.019582498
10/1/1968,pop,201290,0.021184927
11/1/1968,pop,201466,0.022631221
12/1/1968,pop,201621,0.023904947
1/1/1969,pop,201760,0.02504719
2/1/1969,pop,201881,0.026041518
3/1/1969,pop,202023,0.027208415
4/1/1969,pop,202161,0.028342441
