lat,long,delta_long,delta_lat
29.7,-172.8,-0.915046237,0.143475254
30.7,-172.8,-0.867012519,0.128388724
31.7,-172.8,-0.818924894,0.113232481
32.7,-172.8,-0.7707763,0.098020371
33.7,-172.8,-0.722559674,0.082766237
34.7,-172.8,-0.674267953,0.067483925
35.7,-172.8,-0.625894074,0.05218728
36.7,-172.8,-0.577430974,0.036890146
37.7,-172.8,-0.528871592,0.021606367
38.7,-172.8,-0.480208863,0.00634979
39.7,-172.8,-0.431435726,-0.008865742
40.7,-172.8,-0.382545116,-0.024026384
41.7,-172.8,-0.333529973,-0.039118291
42.7,-172.8,-0.284383233,-0.054127618
43.7,-172.8,-0.235097832,-0.069040521
44.7,-172.8,-0.185666709,-0.083843154
45.7,-172.8,-0.136082801,-0.098521673
46.7,-172.8,-0.086339045,-0.113062233
47.7,-172.8,-0.036428377,-0.12745099
48.7,-172.8,0.013656264,-0.141674098
49.7,-172.8,0.063921941,-0.155717714
29.7,-171.8,-0.925873974,0.148452629
30.7,-171.8,-0.877876822,0.133313372
31.7,-171.8,-0.829823956,0.1181107
32.7,-171.8,-0.781708423,0.102857967
33.7,-171.8,-0.73352327,0.08756853
34.7,-171.8,-0.685261545,0.072255746
35.7,-171.8,-0.636916296,0.056932969
36.7,-171.8,-0.588480569,0.041613556
37.7,-171.8,-0.539947412,0.026310864
38.7,-171.8,-0.491309873,0.011038247
39.7,-171.8,-0.442561,-0.004190937
40.7,-171.8,-0.393693839,-0.019363333
41.7,-171.8,-0.344701438,-0.034465585
42.7,-171.8,-0.295576844,-0.049484336
43.7,-171.8,-0.246313106,-0.064406232
44.7,-171.8,-0.196903271,-0.079217915
45.7,-171.8,-0.147340385,-0.093906029
46.7,-171.8,-0.097617497,-0.108457219
47.7,-171.8,-0.047727654,-0.122858129
48.7,-171.8,0.002336096,-0.137095402
49.7,-171.8,0.052580707,-0.151155683
29.7,-170.8,-0.936650173,0.153792545
30.7,-170.8,-0.888751104,0.138541117
31.7,-170.8,-0.840790281,0.12323285
32.7,-170.8,-0.792761164,0.10788073
33.7,-170.8,-0.744657209,0.092497744
34.7,-170.8,-0.696471875,0.077096879
35.7,-170.8,-0.64819862,0.061691123
36.7,-170.8,-0.599830902,0.046293462
37.7,-170.8,-0.551362178,0.030916884
38.7,-170.8,-0.502785908,0.015574376
39.7,-170.8,-0.454095548,0.000278925
40.7,-170.8,-0.405284558,-0.014956483
41.7,-170.8,-0.356346394,-0.030118859
42.7,-170.8,-0.307274515,-0.045195217
43.7,-170.8,-0.25806238,-0.060172569
44.7,-170.8,-0.208703445,-0.075037929
45.7,-170.8,-0.159191169,-0.08977831
46.7,-170.8,-0.10951901,-0.104380723
47.7,-170.8,-0.059680426,-0.118832183
48.7,-170.8,-0.009668876,-0.133119702
49.7,-170.8,0.040522184,-0.147230293
29.7,-169.8,-0.947353964,0.159455004
30.7,-169.8,-0.899603732,0.1440418
31.7,-169.8,-0.851782396,0.12857858
32.7,-169.8,-0.803884056,0.113078061
33.7,-169.8,-0.755902809,0.097552961
34.7,-169.8,-0.707832755,0.082015996
35.7,-169.8,-0.659667994,0.066479882
36.7,-169.8,-0.611402625,0.050957336
37.7,-169.8,-0.563030746,0.035461075
38.7,-169.8,-0.514546456,0.020003816
39.7,-169.8,-0.465943855,0.004598274
40.7,-169.8,-0.417217042,-0.010742832
41.7,-169.8,-0.368360116,-0.026006788
42.7,-169.8,-0.319367176,-0.041180875
43.7,-169.8,-0.270232321,-0.056252377
44.7,-169.8,-0.220949651,-0.071208578
45.7,-169.8,-0.171513263,-0.086036761
46.7,-169.8,-0.121917258,-0.100724209
47.7,-169.8,-0.072155734,-0.115258206
48.7,-169.8,-0.022222791,-0.129626034
49.7,-169.8,0.027887473,-0.143814978
29.7,-168.8,-0.957964479,0.16540001
30.7,-168.8,-0.910403079,0.149785259
31.7,-168.8,-0.862758829,0.134127536
32.7,-168.8,-0.815026633,0.118439363
33.7,-168.8,-0.767201389,0.102733265
34.7,-168.8,-0.719278001,0.087021765
35.7,-168.8,-0.671251367,0.071317386
36.7,-168.8,-0.623116389,0.055632651
37.7,-168.8,-0.574867969,0.039980083
38.7,-168.8,-0.526501007,0.024372206
39.7,-168.8,-0.478010404,0.008821544
40.7,-168.8,-0.429391061,-0.006659382
41.7,-168.8,-0.380637879,-0.022058046
42.7,-168.8,-0.331745758,-0.037361926
43.7,-168.8,-0.282709601,-0.052558499
44.7,-168.8,-0.233524307,-0.067635241
45.7,-168.8,-0.184184778,-0.082579629
46.7,-168.8,-0.134685915,-0.097379139
47.7,-168.8,-0.085022618,-0.112021249
48.7,-168.8,-0.035189788,-0.126493435
49.7,-168.8,0.014817672,-0.140783173
29.7,-167.8,-0.968460848,0.171587563
30.7,-167.8,-0.921117512,0.155741335
31.7,-167.8,-0.873678108,0.139859365
32.7,-167.8,-0.826138429,0.123954038
33.7,-167.8,-0.77849427,0.10803774
34.7,-167.8,-0.730741424,0.092122856
35.7,-167.8,-0.682875686,0.076221774
36.7,-167.8,-0.634892848,0.060346878
37.7,-167.8,-0.586788705,0.044510553
38.7,-167.8,-0.53855905,0.028725187
39.7,-167.8,-0.490199678,0.013003164
40.7,-167.8,-0.441706381,-0.00264313
41.7,-167.8,-0.393074955,-0.018201308
42.7,-167.8,-0.344301192,-0.033658986
43.7,-167.8,-0.295380887,-0.049003778
44.7,-167.8,-0.246309833,-0.064223297
45.7,-167.8,-0.197083824,-0.079305159
46.7,-167.8,-0.147698654,-0.094236976
47.7,-167.8,-0.098150117,-0.109006365
48.7,-167.8,-0.048434006,-0.123600938
49.7,-167.8,0.001453884,-0.13800831
29.7,-166.8,-0.978822202,0.177977667
30.7,-166.8,-0.931715403,0.161879868
31.7,-166.8,-0.884498759,0.145753714
32.7,-166.8,-0.837168979,0.129611486
33.7,-166.8,-0.789722771,0.113465467
34.7,-166.8,-0.742156841,0.097327939
35.7,-166.8,-0.694467899,0.081211186
36.7,-166.8,-0.646652652,0.06512749
37.7,-166.8,-0.598707807,0.049089133
38.7,-166.8,-0.550630074,0.033108398
39.7,-166.8,-0.50241616,0.017197567
40.7,-166.8,-0.454062772,0.001368924
41.7,-166.8,-0.405566619,-0.01436525
42.7,-166.8,-0.356924409,-0.029992671
43.7,-166.8,-0.308132849,-0.045501058
44.7,-166.8,-0.259188647,-0.060878128
45.7,-166.8,-0.210088512,-0.076111597
46.7,-166.8,-0.160829151,-0.091189184
47.7,-166.8,-0.111407272,-0.106098606
48.7,-166.8,-0.061819583,-0.120827581
49.7,-166.8,-0.012062792,-0.135363825
29.7,-165.8,-0.989027671,0.184530323
30.7,-165.8,-0.942165121,0.168170699
31.7,-165.8,-0.895179311,0.15179023
32.7,-165.8,-0.848067816,0.13540111
33.7,-165.8,-0.80082821,0.11901553
34.7,-165.8,-0.753458064,0.102645684
35.7,-165.8,-0.705954954,0.086303763
36.7,-165.8,-0.658316452,0.07000196
37.7,-165.8,-0.610540133,0.053752468
38.7,-165.8,-0.562623569,0.037567479
39.7,-165.8,-0.514564334,0.021459186
40.7,-165.8,-0.466360001,0.00543978
41.7,-165.8,-0.418008145,-0.010478545
42.7,-165.8,-0.369506339,-0.026283597
43.7,-165.8,-0.320852155,-0.041963183
44.7,-165.8,-0.272043168,-0.057505112
45.7,-165.8,-0.223076952,-0.07289719
46.7,-165.8,-0.173951078,-0.088127225
47.7,-165.8,-0.124663123,-0.103183025
48.7,-165.8,-0.075210657,-0.118052398
49.7,-165.8,-0.025591256,-0.13272315
29.7,-164.8,-0.999056387,0.191205535
30.7,-164.8,-0.952435036,0.174583667
31.7,-164.8,-0.905678291,0.157948561
32.7,-164.8,-0.858784475,0.141312311
33.7,-164.8,-0.811751907,0.124687013
34.7,-164.8,-0.764578908,0.108084758
35.7,-164.8,-0.717263799,0.091517643
36.7,-164.8,-0.669804902,0.07499776
37.7,-164.8,-0.622200536,0.058537204
38.7,-164.8,-0.574449023,0.04214807
39.7,-164.8,-0.526548683,0.02584245
40.7,-164.8,-0.478497838,0.009632439
41.7,-164.8,-0.430294807,-0.006469868
42.7,-164.8,-0.381937913,-0.022452378
43.7,-164.8,-0.333425476,-0.038302997
44.7,-164.8,-0.284755815,-0.05400963
45.7,-164.8,-0.235927254,-0.069560183
46.7,-164.8,-0.186938111,-0.084942563
47.7,-164.8,-0.137786709,-0.100144675
48.7,-164.8,-0.088471367,-0.115154425
49.7,-164.8,-0.038990407,-0.129959719
29.7,-163.8,-1.00888748,0.197963304
30.7,-163.8,-0.962493518,0.181088612
31.7,-163.8,-0.915954227,0.164208353
32.7,-163.8,-0.869268488,0.147334493
33.7,-163.8,-0.822435181,0.130478998
34.7,-163.8,-0.775453186,0.113653833
35.7,-163.8,-0.728321383,0.096870967
36.7,-163.8,-0.681038652,0.080142363
37.7,-163.8,-0.633603873,0.063479988
38.7,-163.8,-0.586015926,0.04689581
39.7,-163.8,-0.538273692,0.030401792
40.7,-163.8,-0.490376049,0.014009902
41.7,-163.8,-0.44232188,-0.002267894
42.7,-163.8,-0.394110063,-0.018419631
43.7,-163.8,-0.345739479,-0.034433342
44.7,-163.8,-0.297209008,-0.050297061
45.7,-163.8,-0.248517529,-0.065998823
46.7,-163.8,-0.199663923,-0.08152666
47.7,-163.8,-0.150647071,-0.096868607
48.7,-163.8,-0.101465852,-0.112012699
49.7,-163.8,-0.052119146,-0.126946968
29.7,-162.8,-1.01850008,0.204763633
30.7,-162.8,-0.972308936,0.187655375
31.7,-162.8,-0.925965646,0.170549253
32.7,-162.8,-0.879469391,0.153457055
33.7,-162.8,-0.832819353,0.136390568
34.7,-162.8,-0.786014713,0.119361578
35.7,-162.8,-0.739054653,0.102381874
36.7,-162.8,-0.691938354,0.085463241
37.7,-162.8,-0.644664998,0.068617467
38.7,-162.8,-0.597233767,0.051856339
39.7,-162.8,-0.549643842,0.035191644
40.7,-162.8,-0.501894405,0.018635169
41.7,-162.8,-0.453984637,0.002198702
42.7,-162.8,-0.405913719,-0.014105972
43.7,-162.8,-0.357680834,-0.030267063
44.7,-162.8,-0.309285163,-0.046272787
45.7,-162.8,-0.260725888,-0.062111354
46.7,-162.8,-0.212002189,-0.07777098
47.7,-162.8,-0.163113249,-0.093239875
48.7,-162.8,-0.114058249,-0.108506254
49.7,-162.8,-0.064836371,-0.123558329
29.7,-161.8,-1.027873319,0.211566523
30.7,-161.8,-0.981849662,0.194253795
31.7,-161.8,-0.935671076,0.176950909
32.7,-161.8,-0.889336717,0.159669401
33.7,-161.8,-0.84284574,0.142420807
34.7,-161.8,-0.796197302,0.125216663
35.7,-161.8,-0.749390556,0.108068504
36.7,-161.8,-0.70242466,0.090987866
37.7,-161.8,-0.655298768,0.073986285
38.7,-161.8,-0.608012036,0.057075297
39.7,-161.8,-0.560563619,0.040266437
40.7,-161.8,-0.512952672,0.023571241
41.7,-161.8,-0.465178352,0.007001245
42.7,-161.8,-0.417239813,-0.009432015
43.7,-161.8,-0.369136211,-0.025717004
44.7,-161.8,-0.320866702,-0.041842186
45.7,-161.8,-0.27243044,-0.057796024
46.7,-161.8,-0.223826582,-0.073566985
47.7,-161.8,-0.175054283,-0.08914353
48.7,-161.8,-0.126112698,-0.104514126
49.7,-161.8,-0.077000982,-0.119667236
29.7,-160.8,-1.036986328,0.218331978
30.7,-160.8,-0.991084064,0.200853713
31.7,-160.8,-0.945029044,0.183392967
32.7,-160.8,-0.898819999,0.165960932
33.7,-160.8,-0.852455663,0.148568798
34.7,-160.8,-0.805934767,0.131227756
35.7,-160.8,-0.759256042,0.113948996
36.7,-160.8,-0.712418222,0.096743711
37.7,-160.8,-0.665420037,0.079623089
38.7,-160.8,-0.618260221,0.062598323
39.7,-160.8,-0.570937504,0.045680602
40.7,-160.8,-0.52345062,0.028881118
41.7,-160.8,-0.475798299,0.012211061
42.7,-160.8,-0.427979274,-0.004318377
43.7,-160.8,-0.379992278,-0.020696008
44.7,-160.8,-0.331836041,-0.036910638
45.7,-160.8,-0.283509297,-0.052951079
46.7,-160.8,-0.235010776,-0.068806138
47.7,-160.8,-0.186339212,-0.084464626
48.7,-160.8,-0.137493336,-0.099915351
49.7,-160.8,-0.08847188,-0.115147123
29.7,-159.8,-1.045818236,0.22502
30.7,-159.8,-0.999980512,0.207424968
31.7,-159.8,-0.953998077,0.189855074
32.7,-159.8,-0.907868773,0.172321049
33.7,-159.8,-0.861590441,0.154833623
34.7,-159.8,-0.815160922,0.137403527
35.7,-159.8,-0.768578058,0.120041492
36.7,-159.8,-0.721839691,0.102758248
37.7,-159.8,-0.674943662,0.085564527
38.7,-159.8,-0.627887812,0.068471058
39.7,-159.8,-0.580669982,0.051488573
40.7,-159.8,-0.533288016,0.034627802
41.7,-159.8,-0.485739753,0.017899476
42.7,-159.8,-0.438023035,0.001314326
43.7,-159.8,-0.390135704,-0.015116918
44.7,-159.8,-0.342075601,-0.031383524
45.7,-159.8,-0.293840568,-0.047474763
46.7,-159.8,-0.245428447,-0.063379903
47.7,-159.8,-0.196837078,-0.079088214
48.7,-159.8,-0.148064303,-0.094588965
49.7,-159.8,-0.099107963,-0.109871425
29.7,-158.8,-1.054348176,0.231590591
30.7,-158.8,-1.008507377,0.213937402
31.7,-158.8,-0.962536705,0.196316878
32.7,-158.8,-0.916432572,0.178739155
33.7,-158.8,-0.870191393,0.161214367
34.7,-158.8,-0.823809582,0.143752647
35.7,-158.8,-0.777283552,0.12636413
36.7,-158.8,-0.730609719,0.10905895
37.7,-158.8,-0.683784496,0.091847243
38.7,-158.8,-0.636804297,0.074739141
39.7,-158.8,-0.589665537,0.057744779
40.7,-158.8,-0.542364629,0.040874292
41.7,-158.8,-0.494897987,0.024137814
42.7,-158.8,-0.447262025,0.007545479
43.7,-158.8,-0.399453159,-0.008892578
44.7,-158.8,-0.3514678,-0.025166224
45.7,-158.8,-0.303302365,-0.041265324
46.7,-158.8,-0.254953266,-0.057179743
47.7,-158.8,-0.206416919,-0.072899347
48.7,-158.8,-0.157689736,-0.088414003
49.7,-158.8,-0.108768132,-0.103713575
29.7,-157.8,-1.061339718,0.238538435
30.7,-157.8,-1.015630955,0.220786931
31.7,-157.8,-0.969810505,0.203066903
32.7,-157.8,-0.923872223,0.185389802
33.7,-157.8,-0.877809965,0.167767074
34.7,-157.8,-0.831617583,0.150210169
35.7,-157.8,-0.785288932,0.132730535
36.7,-157.8,-0.738817867,0.115339622
37.7,-157.8,-0.692198242,0.098048878
38.7,-157.8,-0.645423912,0.080869752
39.7,-157.8,-0.59848873,0.063813693
40.7,-157.8,-0.551386552,0.046892148
41.7,-157.8,-0.504111231,0.030116568
42.7,-157.8,-0.456656622,0.0134984
43.7,-157.8,-0.409016579,-0.002950907
44.7,-157.8,-0.361183703,-0.019219776
45.7,-157.8,-0.313116266,-0.035294972
46.7,-157.8,-0.264809643,-0.051171964
47.7,-157.8,-0.21628185,-0.066849323
48.7,-157.8,-0.167550906,-0.08232562
49.7,-157.8,-0.118634826,-0.097599425
29.7,-156.8,-1.065418936,0.246529336
30.7,-156.8,-1.020210482,0.228515887
31.7,-156.8,-0.974908727,0.210514318
32.7,-156.8,-0.929503021,0.192541602
33.7,-156.8,-0.883982712,0.174614713
34.7,-156.8,-0.838337152,0.156750624
35.7,-156.8,-0.792555688,0.138966306
36.7,-156.8,-0.746627672,0.121278733
37.7,-156.8,-0.700542452,0.103704877
38.7,-156.8,-0.654289378,0.086261713
39.7,-156.8,-0.607857801,0.068966211
40.7,-156.8,-0.561237068,0.051835346
41.7,-156.8,-0.514416531,0.03488609
42.7,-156.8,-0.467385539,0.018135416
43.7,-156.8,-0.42013344,0.001600297
44.7,-156.8,-0.372644544,-0.014701765
45.7,-156.8,-0.324765418,-0.030746219
46.7,-156.8,-0.276492572,-0.046544419
47.7,-156.8,-0.227913672,-0.062120581
48.7,-156.8,-0.179116384,-0.077498919
49.7,-156.8,-0.130188374,-0.092703647
29.7,-155.8,-1.067243124,0.255408573
30.7,-155.8,-1.022783833,0.237019366
31.7,-155.8,-0.978254464,0.218608652
32.7,-155.8,-0.933637878,0.20020199
33.7,-155.8,-0.888916937,0.181824943
34.7,-155.8,-0.844074503,0.163503069
35.7,-155.8,-0.799093435,0.14526193
36.7,-155.8,-0.753956597,0.127127087
37.7,-155.8,-0.708646849,0.1091241
38.7,-155.8,-0.663147053,0.091278529
39.7,-155.8,-0.61744007,0.073615936
40.7,-155.8,-0.571508762,0.056161881
41.7,-155.8,-0.52533599,0.038941925
42.7,-155.8,-0.478904615,0.021981628
43.7,-155.8,-0.432197499,0.005306552
44.7,-155.8,-0.385187032,-0.011056598
45.7,-155.8,-0.337560258,-0.027065509
46.7,-155.8,-0.289317609,-0.042754775
47.7,-155.8,-0.240649158,-0.058186711
48.7,-155.8,-0.191744976,-0.073423632
49.7,-155.8,-0.142795135,-0.088527853
29.7,-154.8,-1.067485745,0.265014621
30.7,-154.8,-1.023902226,0.246187074
31.7,-154.8,-0.980281391,0.227295566
32.7,-154.8,-0.936597599,0.208376138
33.7,-154.8,-0.892825207,0.189464828
34.7,-154.8,-0.848938573,0.170597674
35.7,-154.8,-0.804912056,0.151810716
36.7,-154.8,-0.760720012,0.13313999
37.7,-154.8,-0.716336799,0.114621537
38.7,-154.8,-0.671736777,0.096291395
39.7,-154.8,-0.626894301,0.078185601
40.7,-154.8,-0.581783731,0.060340196
41.7,-154.8,-0.536379424,0.042791217
42.7,-154.8,-0.490655738,0.025574702
43.7,-154.8,-0.444587031,0.008726692
44.7,-154.8,-0.398131028,-0.007714859
45.7,-154.8,-0.350793663,-0.02368525
46.7,-154.8,-0.302582676,-0.03924668
47.7,-154.8,-0.253807696,-0.05450743
48.7,-154.8,-0.204778353,-0.069575783
49.7,-154.8,-0.155804278,-0.084560018
29.7,-153.8,-1.066820256,0.275185956
30.7,-153.8,-1.024116875,0.255908711
31.7,-153.8,-0.981423182,0.236520721
32.7,-153.8,-0.938702984,0.217069219
33.7,-153.8,-0.895920088,0.197601437
34.7,-153.8,-0.853038302,0.178164609
35.7,-153.8,-0.810021431,0.158805968
36.7,-153.8,-0.766833285,0.139572748
37.7,-153.8,-0.723437668,0.120512181
38.7,-153.8,-0.67979839,0.1016715
39.7,-153.8,-0.635879257,0.083097939
40.7,-153.8,-0.591644075,0.064838731
41.7,-153.8,-0.547056653,0.046941108
42.7,-153.8,-0.502080798,0.029452305
43.7,-153.8,-0.456680316,0.012419553
44.7,-153.8,-0.410796396,-0.004107131
45.7,-153.8,-0.363758509,-0.020037853
46.7,-153.8,-0.315585691,-0.035463786
47.7,-153.8,-0.266708674,-0.050542458
48.7,-153.8,-0.21755819,-0.065431394
49.7,-153.8,-0.16856497,-0.080288121
29.7,-152.8,-1.06592012,0.285761053
30.7,-152.8,-1.023979,0.266073983
31.7,-152.8,-0.982113513,0.246229777
32.7,-152.8,-0.940274837,0.226286404
33.7,-152.8,-0.898414148,0.206301836
34.7,-152.8,-0.856482625,0.186334042
35.7,-152.8,-0.814431445,0.166440995
36.7,-152.8,-0.772211785,0.146680665
37.7,-152.8,-0.729774822,0.127111022
38.7,-152.8,-0.687071735,0.107790038
39.7,-152.8,-0.644053699,0.088775683
40.7,-152.8,-0.600671893,0.070125928
41.7,-152.8,-0.556877495,0.051898744
42.7,-152.8,-0.51262168,0.034152102
43.7,-152.8,-0.467855628,0.016943972
44.7,-152.8,-0.422502997,0.000336002
45.7,-152.8,-0.375747673,-0.015555726
46.7,-152.8,-0.327624576,-0.030849744
47.7,-152.8,-0.278671481,-0.045751512
48.7,-152.8,-0.229426158,-0.06046649
49.7,-152.8,-0.18042638,-0.075200137
29.7,-151.8,-1.065458795,0.296578386
30.7,-151.8,-1.024039815,0.276572593
31.7,-151.8,-0.982786057,0.256368394
32.7,-151.8,-0.941633958,0.236032868
33.7,-151.8,-0.900519954,0.215633091
34.7,-151.8,-0.859380482,0.195236144
35.7,-151.8,-0.818151979,0.174909103
36.7,-151.8,-0.776770882,0.154719046
37.7,-151.8,-0.735173627,0.134733052
38.7,-151.8,-0.693296651,0.1150182
39.7,-151.8,-0.651076392,0.095641566
40.7,-151.8,-0.608449284,0.076670229
41.7,-151.8,-0.565351766,0.058171268
42.7,-151.8,-0.521720275,0.04021176
43.7,-151.8,-0.477491246,0.022858783
44.7,-151.8,-0.432570695,0.006183957
45.7,-151.8,-0.38605403,-0.009671278
46.7,-151.8,-0.337997252,-0.024848202
47.7,-151.8,-0.289015504,-0.039594309
48.7,-151.8,-0.239723931,-0.054157092
49.7,-151.8,-0.190737677,-0.068784044
29.7,-150.8,-1.066109743,0.307476432
30.7,-150.8,-1.024850539,0.287294244
31.7,-150.8,-0.98387449,0.266882233
32.7,-150.8,-0.94310115,0.246313782
33.7,-150.8,-0.902450072,0.225662271
34.7,-150.8,-0.86184081,0.205001082
35.7,-150.8,-0.821192916,0.184403597
36.7,-150.8,-0.780425945,0.163943197
37.7,-150.8,-0.739459449,0.143693263
38.7,-150.8,-0.698212981,0.123727178
39.7,-150.8,-0.656606096,0.104118322
40.7,-150.8,-0.614558347,0.084940077
41.7,-150.8,-0.571989287,0.066265824
42.7,-150.8,-0.528818468,0.048168946
43.7,-150.8,-0.484965446,0.030722823
44.7,-150.8,-0.440319351,0.014006151
45.7,-150.8,-0.393970457,-0.001816918
46.7,-150.8,-0.346001637,-0.016902813
47.7,-150.8,-0.297060131,-0.031530569
48.7,-150.8,-0.247793181,-0.045979225
49.7,-150.8,-0.198848029,-0.060527818
29.7,-149.8,-1.068067371,0.318329391
30.7,-149.8,-1.026596524,0.298230617
31.7,-149.8,-0.985545466,0.277844915
32.7,-149.8,-0.944816498,0.257254494
33.7,-149.8,-0.90431192,0.236541562
34.7,-149.8,-0.863934033,0.215788328
35.7,-149.8,-0.823585139,0.195077
36.7,-149.8,-0.783167536,0.174489788
37.7,-149.8,-0.742583526,0.154108898
38.7,-149.8,-0.70173541,0.13401654
39.7,-149.8,-0.660525488,0.114294922
40.7,-149.8,-0.618856061,0.095026253
41.7,-149.8,-0.576629429,0.07629274
42.7,-149.8,-0.53374752,0.058175353
43.7,-149.8,-0.490102812,0.040721589
44.7,-149.8,-0.445573188,0.024022412
45.7,-149.8,-0.3993273,0.008268212
46.7,-149.8,-0.351477226,-0.006709624
47.7,-149.8,-0.302656603,-0.021210487
48.7,-149.8,-0.253499071,-0.035533767
49.7,-149.8,-0.204638266,-0.049978856
29.7,-148.8,-1.067545796,0.329352648
30.7,-148.8,-1.026384954,0.310143176
31.7,-148.8,-0.985682275,0.290240549
32.7,-148.8,-0.945337293,0.269790529
33.7,-148.8,-0.905249543,0.248938877
34.7,-148.8,-0.865318559,0.227831354
35.7,-148.8,-0.825443876,0.206613723
36.7,-148.8,-0.785525029,0.185431744
37.7,-148.8,-0.745461552,0.164431179
38.7,-148.8,-0.70515298,0.143757789
39.7,-148.8,-0.664498848,0.123557336
40.7,-148.8,-0.62339869,0.10397558
41.7,-148.8,-0.581752041,0.085158284
42.7,-148.8,-0.539454297,0.067237625
43.7,-148.8,-0.496296398,0.049977833
44.7,-148.8,-0.452183941,0.033557113
45.7,-148.8,-0.406241696,0.018262432
46.7,-148.8,-0.358579699,0.003857361
47.7,-148.8,-0.309891204,-0.009998656
48.7,-148.8,-0.260869461,-0.023646178
49.7,-148.8,-0.212207723,-0.037425764
29.7,-147.8,-1.064059725,0.340598711
30.7,-147.8,-1.023771797,0.32294524
31.7,-147.8,-0.98388632,0.303884946
32.7,-147.8,-0.94431337,0.283675879
33.7,-147.8,-0.904963021,0.262576085
34.7,-147.8,-0.865745349,0.240843611
35.7,-147.8,-0.826570431,0.218736506
36.7,-147.8,-0.78734834,0.196512816
37.7,-147.8,-0.747989153,0.174430589
38.7,-147.8,-0.708402945,0.152747872
39.7,-147.8,-0.668499792,0.131722713
40.7,-147.8,-0.628189769,0.111613159
41.7,-147.8,-0.587382951,0.092677257
42.7,-147.8,-0.54597854,0.075137865
43.7,-147.8,-0.503601884,0.058260123
44.7,-147.8,-0.460222208,0.042360415
45.7,-147.8,-0.414791897,0.02789353
46.7,-147.8,-0.367388762,0.01451132
47.7,-147.8,-0.318840481,0.001805264
48.7,-147.8,-0.269974732,-0.010633159
49.7,-147.8,-0.221619193,-0.023212471
29.7,-146.8,-1.058196569,0.352048236
30.7,-146.8,-1.01912523,0.336307538
31.7,-146.8,-0.980345025,0.318279343
32.7,-146.8,-0.941784303,0.298360854
33.7,-146.8,-0.903371413,0.276949276
34.7,-146.8,-0.865034704,0.254441816
35.7,-146.8,-0.826702524,0.231235677
36.7,-146.8,-0.788303223,0.207728066
37.7,-146.8,-0.749765148,0.184316186
38.7,-146.8,-0.711016649,0.161397245
39.7,-146.8,-0.671986074,0.139368446
40.7,-146.8,-0.632601772,0.118626994
41.7,-146.8,-0.592792092,0.099570096
42.7,-146.8,-0.552466146,0.082533821
43.7,-146.8,-0.5110499,0.066180218
44.7,-146.8,-0.468599259,0.050966962
45.7,-146.8,-0.423819793,0.037569888
46.7,-146.8,-0.376737704,0.025515754
47.7,-146.8,-0.328356264,0.014303929
48.7,-146.8,-0.279678746,0.003433784
49.7,-146.8,-0.23170842,-0.007595311
29.7,-145.8,-1.05054374,0.363681878
30.7,-145.8,-1.012813429,0.349900803
31.7,-145.8,-0.975245812,0.332924973
32.7,-145.8,-0.937789668,0.313295761
33.7,-145.8,-0.900393778,0.29155454
34.7,-145.8,-0.863006921,0.268242683
35.7,-145.8,-0.825577878,0.243901564
